v, i, t
0.100, 281.388, 0.038
0.200, 270.039, 0.037
0.300, 273.052, 0.038
0.400, 269.612, 0.039
0.500, 270.887, 0.037
0.600, 268.941, 0.039
0.700, 266.721, 0.037
0.800, 267.012, 0.039
0.900, 263.722, 0.038
1.000, 262.142, 0.040
1.100, 261.996, 0.040
1.200, 259.357, 0.039
1.300, 259.683, 0.039
1.400, 259.028, 0.041
1.500, 254.553, 0.041
1.600, 253.915, 0.039
1.700, 260.180, 0.041
1.800, 248.927, 0.040
1.900, 251.026, 0.042
2.000, 246.525, 0.041
2.100, 248.793, 0.043
2.200, 241.454, 0.041
2.300, 233.884, 0.045
2.400, 228.472, 0.046
2.500, 211.379, 0.047
2.600, 189.124, 0.056
2.700, 157.642, 0.063
2.800, 115.581, 0.092
2.900, 72.324, 0.138
3.000, 22.501, 0.467
