v,i,t 
0.100, 75.699, 0.140
0.200, 73.143, 0.137
0.300, 73.552, 0.143
0.400, 73.493, 0.143
0.500, 72.409, 0.139
0.600, 72.246, 0.145
0.700, 71.442, 0.140
0.800, 72.195, 0.146
0.900, 71.223, 0.142
1.000, 69.066, 0.152
1.100, 71.260, 0.147
1.200, 69.732, 0.143
1.300, 69.958, 0.144
1.400, 70.049, 0.150
1.500, 68.249, 0.154
1.600, 68.520, 0.146
1.700, 69.847, 0.152
1.800, 68.069, 0.147
1.900, 68.718, 0.153
2.000, 67.532, 0.148
2.100, 68.550, 0.155
2.200, 67.370, 0.148
2.300, 65.958, 0.159
2.400, 68.110, 0.156
2.500, 66.688, 0.150
2.600, 65.925, 0.159
2.700, 66.432, 0.150
2.800, 65.526, 0.162
2.900, 65.365, 0.153
3.000, 65.562, 0.160
3.100, 64.419, 0.155
3.200, 65.676, 0.162
3.300, 64.102, 0.156
3.400, 64.484, 0.163
3.500, 63.193, 0.166
3.600, 63.795, 0.158
3.700, 63.183, 0.166
3.800, 62.082, 0.161
3.900, 61.656, 0.170
4.000, 62.720, 0.161
4.100, 60.875, 0.173
4.200, 60.344, 0.166
4.300, 61.331, 0.173
4.400, 58.433, 0.171
4.500, 59.085, 0.178
4.600, 57.198, 0.184
4.700, 56.137, 0.180
4.800, 52.747, 0.199
4.900, 49.172, 0.203
5.000, 45.239, 0.232
5.100, 38.824, 0.260
5.200, 31.587, 0.333
5.300, 24.214, 0.434
5.400, 16.068, 0.622
