v, i, t
0.100, 70.611, 0.150
0.200, 67.608, 0.148
0.300, 67.873, 0.155
0.400, 68.126, 0.154
0.500, 67.823, 0.149
0.600, 67.322, 0.156
0.700, 66.230, 0.151
0.800, 66.703, 0.158
0.900, 67.258, 0.150
1.000, 64.885, 0.162
1.100, 66.114, 0.159
1.200, 64.998, 0.154
1.300, 65.557, 0.154
1.400, 65.456, 0.161
1.500, 63.640, 0.165
1.600, 63.816, 0.157
1.700, 65.291, 0.162
1.800, 64.186, 0.156
1.900, 64.396, 0.163
2.000, 62.519, 0.160
2.100, 64.370, 0.165
2.200, 62.791, 0.159
2.300, 62.071, 0.169
2.400, 63.483, 0.167
2.500, 61.895, 0.161
2.600, 61.697, 0.170
2.700, 61.876, 0.161
2.800, 62.448, 0.170
2.900, 60.478, 0.165
3.000, 61.715, 0.170
3.100, 59.858, 0.167
3.200, 61.422, 0.173
3.300, 60.192, 0.166
3.400, 60.443, 0.174
3.500, 59.035, 0.178
3.600, 58.849, 0.172
3.700, 59.361, 0.177
3.800, 58.024, 0.172
3.900, 57.471, 0.183
4.000, 57.983, 0.174
4.100, 56.621, 0.186
4.200, 55.249, 0.181
4.300, 56.322, 0.188
4.400, 53.356, 0.187
4.500, 53.280, 0.197
4.600, 50.453, 0.208
4.700, 48.946, 0.206
4.800, 43.257, 0.243
4.900, 38.271, 0.261
5.000, 32.117, 0.327
5.100, 24.593, 0.410
5.200, 16.237, 0.647
5.300, 8.514, 1.234
