v,i,t
0.100, 97.635, 0.109
0.200, 94.252, 0.111
0.300, 95.282, 0.105
0.400, 95.230, 0.110
0.500, 94.070, 0.107
0.600, 94.692, 0.111
0.700, 92.144, 0.108
0.800, 93.131, 0.113
0.900, 93.760, 0.108
1.000, 90.178, 0.117
1.100, 93.209, 0.113
1.200, 90.910, 0.110
1.300, 91.591, 0.110
1.400, 91.014, 0.115
1.500, 89.217, 0.118
1.600, 90.101, 0.111
1.700, 91.402, 0.116
1.800, 88.897, 0.112
1.900, 89.340, 0.118
2.000, 88.672, 0.120
2.100, 88.456, 0.113
2.200, 87.522, 0.120
2.300, 86.069, 0.116
2.400, 88.859, 0.119
2.500, 85.062, 0.117
2.600, 85.125, 0.123
2.700, 85.477, 0.117
2.800, 84.414, 0.126
2.900, 83.350, 0.120
3.000, 83.612, 0.126
3.100, 81.752, 0.129
3.200, 83.407, 0.121
3.300, 80.299, 0.131
3.400, 81.270, 0.123
3.500, 76.704, 0.137
3.600, 77.696, 0.130
3.700, 77.195, 0.136
3.800, 74.993, 0.133
3.900, 71.694, 0.147
4.000, 72.227, 0.140
4.100, 68.400, 0.154
4.200, 66.583, 0.150
4.300, 64.429, 0.165
4.400, 59.163, 0.169
4.500, 56.480, 0.186
4.600, 50.970, 0.206
4.700, 46.852, 0.215
4.800, 39.153, 0.268
4.900, 32.949, 0.303
5.000, 25.275, 0.416
